Id2,Majority,Majority_woE,Majority_woES,MAX_Majority,MAX_Majority_P,MAX_Majority_woE,MAX_Majority_woE_P,MAX_Majority_woES,MAX_Majority_woES_P,Total,Speak_only_English,Speak_only_English_P,Spanish_or_Spanish_Creole,Spanish_or_Spanish_Creole_P,French_incl_Patois_Cajun,French_incl_Patois_Cajun_P,French_Creole,French_Creole_P,Other_Native_North_American_languages,Other_Native_North_American_languages_P,Hungarian,Hungarian_P,Arabic,Arabic_P,Hebrew,Hebrew_P,African_languages,African_languages_P,Other_and_unspecified_languages,Other_and_unspecified_languages_P,Italian,Italian_P,Portuguese_or_Portuguese_Creole,Portuguese_or_Portuguese_Creole_P,German,German_P,Yiddish,Yiddish_P,Other_West_Germanic_languages,Other_West_Germanic_languages_P,Scandinavian_languages,Scandinavian_languages_P,Greek,Greek_P,Russian,Russian_P,Polish,Polish_P,Serbo-Croatian,Serbo-Croatian_P,Other_Slavic_languages,Other_Slavic_languages_P,Armenian,Armenian_P,Persian,Persian_P,Gujarati,Gujarati_P,Hindi,Hindi_P,Urdu,Urdu_P,Other_Indic_languages,Other_Indic_languages_P,Other_Indo-European_languages,Other_Indo-European_languages_P,Chinese,Chinese_P,Japanese,Japanese_P,Korean,Korean_P,Mon-Khmer_Cambodian,Mon-Khmer_Cambodian_P,Hmong,Hmong_P,Thai,Thai_P,Laotian,Laotian_P,Vietnamese,Vietnamese_P,Other_Asian_languages,Other_Asian_languages_P,Tagalog,Tagalog_P,Other_Pacific_Island_languages,Other_Pacific_Island_languages_P,Navajo,Navajo_P
48085031806,Speak only English,Hindi,Hindi,635,33.2460733,294,15.39267016,294,15.39267016,1910,635,33.25,183,9.58,6,0.31,0,0,0,0,0,0,6,0.31,7,0.37,66,3.46,16,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1.52,0,0,6,0.31,0,0,0,0,0,0,15,0.79,294,15.39,0,0,59,3.09,0,0,262,13.72,155,8.12,81,4.24,0,0,0,0,0,0,0,0,6,0.31,84,4.4,0,0,0,0,0,0
48085031807,Speak only English,Chinese,Chinese,4129,88.32085561,286,6.117647059,286,6.117647059,4675,4129,88.32,172,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.26,0,0,0,0,0,0,0,0,48,1.03,0,0,0,0,0,0,28,0.6,0,0,0,0,0,0,0,0,0,0,0,0,286,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48085031900,Spanish or Spanish Creole,Spanish or Spanish Creole,Arabic,2437,53.46643265,2437,53.46643265,44,0.965335674,4558,1910,41.9,2437,53.47,0,0,26,0.57,0,0,0,0,44,0.97,0,0,8,0.18,0,0,0,0,0,0,9,0.2,0,0,0,0,0,0,0,0,8,0.18,0,0,11,0.24,0,0,0,0,0,0,0,0,0,0,27,0.59,16,0.35,14,0.31,0,0,10,0.22,0,0,0,0,0,0,0,0,0,0,0,0,21,0.46,17,0.37,0,0,0,0
48085032003,Spanish or Spanish Creole,Spanish or Spanish Creole,African languages,2511,47.76488492,2511,47.76488492,57,1.084268594,5257,2455,46.7,2511,47.76,32,0.61,0,0,0,0,0,0,0,0,0,0,57,1.08,0,0,0,0,0,0,11,0.21,0,0,0,0,14,0.27,0,0,0,0,0,0,0,0,0,0,0,0,34,0.65,0,0,29,0.55,21,0.4,0,0,22,0.42,38,0.72,0,0,33,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48085032004,Speak only English,Spanish or Spanish Creole,Other Indic languages,4808,67.09461345,2159,30.12838404,56,0.781468044,7166,4808,67.09,2159,30.13,12,0.17,0,0,0,0,0,0,0,0,0,0,11,0.15,0,0,0,0,0,0,20,0.28,0,0,0,0,11,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.17,0,0,43,0.6,56,0.78,0,0,0,0,0,0,0,0,34,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48085032008,Speak only English,Spanish or Spanish Creole,Chinese,2544,67.64158468,825,21.93565541,121,3.21722946,3761,2544,67.64,825,21.94,0,0,0,0,0,0,0,0,0,0,0,0,41,1.09,0,0,7,0.19,0,0,8,0.21,0,0,0,0,0,0,10,0.27,0,0,0,0,0,0,0,0,0,0,26,0.69,15,0.4,8,0.21,46,1.22,0,0,0,0,121,3.22,0,0,0,0,0,0,0,0,0,0,0,0,82,2.18,0,0,18,0.48,10,0.27,0,0
48085032009,Speak only English,Vietnamese,Vietnamese,4501,66.0164271,459,6.732179525,459,6.732179525,6818,4501,66.02,453,6.64,0,0,0,0,0,0,0,0,61,0.89,0,0,0,0,0,0,0,0,0,0,13,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,2.2,99,1.45,240,3.52,58,0.85,65,0.95,27,0.4,169,2.48,14,0.21,144,2.11,0,0,0,0,0,0,0,0,459,6.73,365,5.35,0,0,0,0,0,0
48085032010,Speak only English,Spanish or Spanish Creole,Portuguese or Portuguese Creole,2384,52.0979021,1429,31.22814685,183,3.999125874,4576,2384,52.1,1429,31.23,25,0.55,0,0,0,0,0,0,47,1.03,0,0,67,1.46,33,0.72,0,0,183,4,63,1.38,0,0,0,0,0,0,0,0,26,0.57,14,0.31,0,0,0,0,0,0,0,0,108,2.36,0,0,56,1.22,21,0.46,27,0.59,29,0.63,0,0,0,0,0,0,0,0,0,0,0,0,26,0.57,0,0,38,0.83,0,0,0,0
48085032011,Speak only English,Vietnamese,Vietnamese,4246,66.55172414,265,4.153605016,265,4.153605016,6380,4246,66.55,249,3.9,103,1.61,0,0,0,0,0,0,243,3.81,0,0,53,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,2.77,213,3.34,263,4.12,0,0,172,2.7,0,0,76,1.19,80,1.25,0,0,39,0.61,0,0,265,4.15,151,2.37,0,0,50,0.78,0,0
48085032012,Spanish or Spanish Creole,Spanish or Spanish Creole,Vietnamese,1919,50.27508515,1919,50.27508515,115,3.012837307,3817,1685,44.14,1919,50.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.31,0,0,16,0.42,0,0,0,0,0,0,0,0,115,3.01,34,0.89,12,0.31,0,0,0,0
